================================================================================
NOTE: Only showing models that have scores from all judges
================================================================================
MT-Bench Summary: Average Scores by Category and Judge
Category           GPT-4-Turbo    GPT-4o    GPT-4.1    GPT-5.1
--- Turn 1 ---        ----------     ----------  ----------  ----------
coding                9.20           9.40        8.30        7.20
extraction            9.90           9.80        9.90        8.70
humanities            9.90           9.10        9.00        7.30
math                  8.40           9.30        9.20        9.30
reasoning             7.00           7.20        6.90        6.20
roleplay              9.80           9.10        9.20        7.20
stem                  9.70           9.50        9.50        7.00
writing               9.70           9.20        9.70        7.40
--- Turn 2 ---        ----------     ----------  ----------  ----------
coding                9.90           8.00        8.20        7.50
extraction            10.00          9.30        9.50        8.10
humanities            10.00          9.00        9.10        5.70
math                  4.30           5.70        7.40        5.80
reasoning             7.80           6.30        5.60        5.00
roleplay              10.00          8.80        8.90        6.50
stem                  9.90           8.30        7.90        5.40
writing               9.60           7.10        6.20        4.80

================================================================================
shisa-ai/shisa-v2-mistral-nemo-12b
Category              GPT-4-Turbo    GPT-4o      GPT-4.1     GPT-5.1
--------------------  -------------  ----------  ----------  ----------
Overall Average       8.42           7.79        7.53        6.12
Overall (Turn 1)      8.47           8.35        8.29        7.04
Overall (Turn 2)      8.36           7.22        6.78        5.20
--------------------  ----------     ----------  ----------  ----------
coding (Average)      7.70           7.65        7.15        6.55
extraction (Average)  9.15           7.40        7.25        6.65
humanities (Average)  9.00           8.65        8.10        5.55
math (Average)        6.45           7.20        7.55        7.00
reasoning (Average)   7.20           6.10        5.75        5.20
roleplay (Average)    8.85           8.15        7.95        5.65
stem (Average)        9.20           8.35        8.15        5.70
writing (Average)     9.80           8.80        8.35        6.65
--- Turn 1 ---        ----------     ----------  ----------  ----------
coding                8.00           8.00        7.50        7.20
extraction            8.30           7.60        7.20        7.20
humanities            8.50           8.60        8.30        6.30
math                  8.00           8.20        8.90        8.70
reasoning             7.40           7.50        7.50        6.70
roleplay              9.20           9.00        8.80        6.40
stem                  8.80           8.70        8.60        6.80
writing               9.60           9.20        9.50        7.00
--- Turn 2 ---        ----------     ----------  ----------  ----------
coding                7.40           7.30        6.80        5.90
extraction            10.00          7.20        7.30        6.10
humanities            9.50           8.70        7.90        4.80
math                  4.90           6.20        6.20        5.30
reasoning             7.00           4.70        4.00        3.70
roleplay              8.50           7.30        7.10        4.90
stem                  9.60           8.00        7.70        4.60
writing               10.00          8.40        7.20        6.30

================================================================================
shisa-ai/shisa-v2-mistral-small-24b
Category              GPT-4-Turbo    GPT-4o      GPT-4.1     GPT-5.1
--------------------  -------------  ----------  ----------  ----------
Overall Average       8.70           7.83        7.72        6.27
Overall (Turn 1)      8.45           8.30        8.21        6.99
Overall (Turn 2)      8.95           7.36        7.22        5.54
--------------------  ----------     ----------  ----------  ----------
coding (Average)      8.20           7.90        7.35        6.58
extraction (Average)  9.10           8.05        7.60        7.00
humanities (Average)  9.35           8.60        8.45        5.95
math (Average)        7.75           7.15        7.50        7.75
reasoning (Average)   7.05           5.85        6.05        4.65
roleplay (Average)    8.80           8.10        7.80        5.60
stem (Average)        9.75           8.60        8.70        6.47
writing (Average)     9.60           8.40        8.20        6.20
--- Turn 1 ---        ----------     ----------  ----------  ----------
coding                8.70           8.90        8.10        7.10
extraction            8.80           9.00        8.80        8.00
humanities            8.70           8.60        8.30        6.70
math                  7.90           7.90        8.40        8.40
reasoning             6.10           5.70        5.90        4.80
roleplay              8.50           8.30        8.10        6.10
stem                  9.50           9.00        8.80        7.60
writing               9.40           9.00        9.30        7.25
--- Turn 2 ---        ----------     ----------  ----------  ----------
coding                7.70           6.90        6.60        6.00
extraction            9.40           7.10        6.40        6.00
humanities            10.00          8.60        8.60        5.20
math                  7.60           6.40        6.60        7.10
reasoning             8.00           6.00        6.22        4.50
roleplay              9.10           7.90        7.50        5.10
stem                  10.00          8.20        8.60        5.35
writing               9.80           7.80        7.10        5.15

================================================================================
shisa-ai/shisa-v2-qwen2.5-32b
Category              GPT-4-Turbo    GPT-4o      GPT-4.1     GPT-5.1
--------------------  -------------  ----------  ----------  ----------
Overall Average       8.72           8.46        8.56        7.13
Overall (Turn 1)      9.05           8.94        9.16        7.83
Overall (Turn 2)      8.39           7.97        7.96        6.42
--------------------  ----------     ----------  ----------  ----------
coding (Average)      7.20           8.00        8.15        7.26
extraction (Average)  9.70           9.05        9.30        7.80
humanities (Average)  9.55           8.85        8.80        6.10
math (Average)        7.40           8.05        8.55        8.50
reasoning (Average)   7.35           7.35        7.20        7.15
roleplay (Average)    9.65           9.15        9.45        7.20
stem (Average)        9.50           8.70        8.35        6.30
writing (Average)     9.40           8.50        8.70        6.70
--- Turn 1 ---        ----------     ----------  ----------  ----------
coding                7.70           8.90        9.20        7.80
extraction            9.60           9.50        9.70        8.80
humanities            9.20           8.70        8.90        6.70
math                  9.10           9.30        9.30        9.30
reasoning             7.80           7.70        7.40        7.60
roleplay              9.50           9.20        9.70        7.80
stem                  9.90           9.00        9.30        7.30
writing               9.60           9.20        9.80        7.30
--- Turn 2 ---        ----------     ----------  ----------  ----------
coding                6.70           7.10        7.10        6.67
extraction            9.80           8.60        8.90        6.80
humanities            9.90           9.00        8.70        5.50
math                  5.70           6.80        7.80        7.70
reasoning             6.90           7.00        7.00        6.70
roleplay              9.80           9.10        9.20        6.60
stem                  9.10           8.40        7.40        5.30
writing               9.20           7.80        7.60        6.10

================================================================================
shisa-ai/shisa-v2-qwen2.5-7b
Category              GPT-4-Turbo    GPT-4o      GPT-4.1     GPT-5.1
--------------------  -------------  ----------  ----------  ----------
Overall Average       8.16           7.62        7.30        5.77
Overall (Turn 1)      8.41           8.31        8.07        6.64
Overall (Turn 2)      7.90           6.94        6.53        4.90
--------------------  ----------     ----------  ----------  ----------
coding (Average)      7.00           7.50        6.70        6.15
extraction (Average)  8.60           7.50        7.15        6.55
humanities (Average)  8.68           8.15        7.55        4.60
math (Average)        7.50           7.80        8.50        8.10
reasoning (Average)   6.25           5.90        5.40        4.85
roleplay (Average)    8.80           7.80        7.90        5.50
stem (Average)        8.90           8.35        7.50        5.25
writing (Average)     9.55           8.00        7.70        5.15
--- Turn 1 ---        ----------     ----------  ----------  ----------
coding                8.30           8.80        7.70        7.10
extraction            8.30           8.10        7.60        7.40
humanities            8.30           7.90        7.70        5.30
math                  8.80           8.70        9.30        9.20
reasoning             6.30           6.50        6.10        5.70
roleplay              9.00           8.50        8.90        6.00
stem                  8.80           9.10        8.40        6.30
writing               9.50           8.90        8.90        6.10
--- Turn 2 ---        ----------     ----------  ----------  ----------
coding                5.70           6.20        5.70        5.20
extraction            8.90           6.90        6.70        5.70
humanities            9.11           8.40        7.40        3.90
math                  6.20           6.90        7.70        7.00
reasoning             6.20           5.30        4.70        4.00
roleplay              8.60           7.10        6.90        5.00
stem                  9.00           7.60        6.60        4.20
writing               9.60           7.10        6.50        4.20

================================================================================
shisa-ai/shisa-v2-unphi4-14b
Category              GPT-4-Turbo    GPT-4o      GPT-4.1     GPT-5.1
--------------------  -------------  ----------  ----------  ----------
Overall Average       8.69           8.38        8.30        6.51
Overall (Turn 1)      8.55           8.62        8.47        6.99
Overall (Turn 2)      8.82           8.14        8.12        6.04
--------------------  ----------     ----------  ----------  ----------
coding (Average)      8.10           8.20        8.00        7.05
extraction (Average)  9.90           9.60        9.65        7.80
humanities (Average)  8.95           8.35        7.85        5.10
math (Average)        8.35           8.95        9.60        9.35
reasoning (Average)   6.05           4.75        4.95        4.40
roleplay (Average)    9.55           9.20        9.25        6.20
stem (Average)        9.15           8.85        8.10        5.95
writing (Average)     9.45           9.15        9.00        6.25
--- Turn 1 ---        ----------     ----------  ----------  ----------
coding                8.50           8.70        8.80        7.70
extraction            9.90           9.80        9.90        9.00
humanities            7.90           7.90        7.20        4.80
math                  9.00           9.30        9.90        9.80
reasoning             5.90           5.40        4.80        4.30
roleplay              9.30           9.30        9.40        6.90
stem                  8.60           9.30        8.10        6.70
writing               9.30           9.30        9.70        6.70
--- Turn 2 ---        ----------     ----------  ----------  ----------
coding                7.70           7.70        7.20        6.40
extraction            9.90           9.40        9.40        6.60
humanities            10.00          8.80        8.50        5.40
math                  7.70           8.60        9.30        8.90
reasoning             6.20           4.10        5.10        4.50
roleplay              9.80           9.10        9.10        5.50
stem                  9.70           8.40        8.10        5.20
writing               9.60           9.00        8.30        5.80

================================================================================
tokyotech-llm/Llama-3.3-Swallow-70B-Instruct-v0.4
Category              GPT-4-Turbo    GPT-4o      GPT-4.1     GPT-5.1
--------------------  -------------  ----------  ----------  ----------
Overall Average       8.75           8.24        7.95        6.76
Overall (Turn 1)      9.05           8.55        8.36        7.45
Overall (Turn 2)      8.45           7.94        7.54        6.06
--------------------  ----------     ----------  ----------  ----------
coding (Average)      7.50           7.75        7.15        6.15
extraction (Average)  9.45           8.65        7.85        7.00
humanities (Average)  9.85           9.00        8.95        6.65
math (Average)        7.25           7.45        8.05        8.10
reasoning (Average)   7.65           7.15        6.70        6.60
roleplay (Average)    9.35           8.75        8.60        6.70
stem (Average)        9.35           8.25        7.85        5.80
writing (Average)     9.60           8.95        8.45        7.05
--- Turn 1 ---        ----------     ----------  ----------  ----------
coding                7.00           7.60        6.60        6.40
extraction            9.70           9.50        8.20        7.80
humanities            9.70           9.10        8.90        7.40
math                  9.50           9.00        9.60        9.90
reasoning             8.50           7.20        7.50        7.40
roleplay              9.10           8.40        8.60        6.50
stem                  9.60           8.60        8.60        7.30
writing               9.30           9.00        8.90        6.90
--- Turn 2 ---        ----------     ----------  ----------  ----------
coding                8.00           7.90        7.70        5.90
extraction            9.20           7.80        7.50        6.20
humanities            10.00          8.90        9.00        5.90
math                  5.00           5.90        6.50        6.30
reasoning             6.80           7.10        5.90        5.80
roleplay              9.60           9.10        8.60        6.90
stem                  9.10           7.90        7.10        4.30
writing               9.90           8.90        8.00        7.20
