question_id,model,turn,GPT-4-Turbo,GPT-4o,GPT-4.1,GPT-5.1
29,shisa-ai/shisa-v2.1-lfm2-1.2b,2,10.0,9.0,9.0,5.0
73,shisa-ai/shisa-v2-unphi4-14b,1,10.0,9.0,10.0,8.0
49,shisa-ai/shisa-v2-llama3.3-70b,1,4.0,4.0,4.0,3.0
30,shisa-ai/shisa-v2-llama3.1-405b,2,10.0,9.0,10.0,8.0
49,meta-llama/Llama-3.1-405B-Instruct,2,2.0,4.0,4.0,4.0
46,LiquidAI/LFM2-1.2B,2,10.0,4.0,4.0,6.0
6,Qwen/Qwen3-8B,2,10.0,10.0,9.0,3.0
33,meta-llama/Llama-3.3-70B-Instruct,2,1.0,2.0,2.0,2.0
22,shisa-ai/shisa-v2-mistral-nemo-12b,2,10.0,9.0,10.0,7.0
2,shisa-ai/shisa-v2-mistral-nemo-12b,1,9.0,10.0,9.0,8.0
27,shisa-ai/shisa-v2-llama3.1-405b,2,10.0,9.0,9.0,7.0
50,shisa-ai/shisa-v2-llama3.1-8b,1,10.0,10.0,10.0,10.0
37,shisa-ai/llama3.3-70b-merge-nuslerp-168-176-base,1,10.0,10.0,9.0,8.5
46,shisa-ai/shisa-v2-qwen2.5-7b,1,10.0,10.0,10.0,10.0
57,shisa-ai/llama3.3-70b-merge-nuslerp-168-176-base,2,10.0,9.0,9.0,6.0
26,shisa-ai/shisa-v2.1-qwen3-8b,1,10.0,9.0,10.0,8.0
16,shisa-ai/shisa-v2.1-unphi4-14b,1,10.0,10.0,7.0,3.0
4,Qwen/Qwen3-8B,2,10.0,10.0,10.0,10.0
2,shisa-ai/shisa-v2-qwen2.5-32b,2,10.0,9.0,9.0,9.0
71,shisa-ai/shisa-v2-llama3.1-405b,2,10.0,9.0,9.0,7.0
9,tokyotech-llm/Llama-3.3-Swallow-70B-Instruct-v0.4,1,10.0,10.0,6.0,5.0
14,meta-llama/Llama-3.1-405B-Instruct,1,10.0,9.0,9.0,9.0
56,shisa-ai/shisa-v2.1-lfm2-1.2b,2,10.0,9.0,9.0,5.0
57,shisa-ai/166-qwen3-30b-a3b-v2.1-dpo-1.2e7,1,10.0,10.0,10.0,8.0
77,shisa-ai/166-qwen3-30b-a3b-v2.1-dpo-1.2e7,2,10.0,9.0,9.0,5.0
9,LiquidAI/LFM2-1.2B,2,1.0,3.0,2.0,2.0
5,tokyotech-llm/Llama-3.1-Swallow-8B-Instruct-v0.5,2,9.0,3.0,4.0,3.0
51,shisa-ai/shisa-v2-mistral-small-24b,1,8.0,8.0,9.0,6.0
67,shisa-ai/shisa-v2.1-qwen3-8b,1,10.0,9.0,10.0,6.0
22,shisa-ai/llama3.3-70b-merge-nuslerp-168-176-base,1,10.0,9.0,9.0,8.0
43,shisa-ai/shisa-v2-qwen2.5-32b,1,10.0,9.0,10.0,9.0
76,shisa-ai/shisa-v2-unphi4-14b,2,10.0,9.0,6.0,4.0
56,shisa-ai/shisa-v2-unphi4-14b,1,10.0,9.0,10.0,8.0
19,shisa-ai/shisa-v2.1-llama3.2-3b,2,1.0,2.0,1.0,1.0
1,shisa-ai/shisa-v2.1-unphi4-14b,1,10.0,10.0,8.0,9.0
36,shisa-ai/shisa-v2-llama3.1-405b,1,10.0,10.0,10.0,10.0
38,Qwen/Qwen3-30B-A3B-Instruct-2507,2,2.0,9.0,10.0,10.0
53,shisa-ai/shisa-v2-llama3.1-8b,2,10.0,8.0,7.0,2.0
33,shisa-ai/shisa-v2-llama3.1-8b,1,3.0,3.0,3.0,3.0
40,shisa-ai/llama3.3-70b-merge-nuslerp-168-176-base,2,10.0,6.0,10.0,10.0
29,shisa-ai/shisa-v2-qwen2.5-7b,1,10.0,10.0,10.0,8.0
50,shisa-ai/shisa-v2.1-qwen3-8b,2,10.0,9.0,9.0,6.0
70,shisa-ai/shisa-v2-mistral-nemo-12b,1,9.0,9.0,10.0,9.0
54,shisa-ai/shisa-v2-llama3.1-405b,2,10.0,10.0,9.0,7.0
46,tokyotech-llm/Llama-3.1-Swallow-8B-Instruct-v0.5,1,2.0,2.0,3.0,3.0
8,shisa-ai/shisa-v2-qwen2.5-32b,1,2.0,4.0,10.0,7.0
78,shisa-ai/shisa-v2-mistral-small-24b,2,10.0,7.0,6.0,4.0
46,shisa-ai/shisa-v2-mistral-nemo-12b,2,10.0,3.0,4.0,2.0
1,meta-llama/Llama-3.3-70B-Instruct,2,9.0,7.0,7.0,7.0
74,Qwen/Qwen3-8B,1,10.0,9.0,10.0,8.0
80,shisa-ai/shisa-v2-llama3.3-70b,1,10.0,9.0,10.0,8.0
3,Qwen/Qwen3-30B-A3B-Instruct-2507,1,10.0,10.0,10.0,10.0
56,LiquidAI/LFM2-1.2B,2,9.0,9.0,9.0,4.0
5,shisa-ai/llama3.3-70b-merge-nuslerp-168-176-base,1,10.0,9.0,10.0,9.0
2,shisa-ai/shisa-v2.1-llama3.2-3b,2,10.0,3.0,3.0,3.0
80,shisa-ai/shisa-v2.1-lfm2-1.2b,1,6.0,4.0,5.0,2.0
58,meta-llama/Llama-3.1-405B-Instruct,2,10.0,9.0,9.0,8.0
19,shisa-ai/shisa-v2-llama3.1-405b,1,10.0,10.0,10.0,8.5
38,meta-llama/Llama-3.1-405B-Instruct,1,2.0,7.0,10.0,9.0
29,tokyotech-llm/Llama-3.1-Swallow-8B-Instruct-v0.5,2,10.0,9.0,10.0,5.0
9,tokyotech-llm/Llama-3.1-Swallow-8B-Instruct-v0.5,1,1.0,3.0,2.0,2.0
21,Qwen/Qwen3-30B-A3B-Instruct-2507,2,10.0,9.0,10.0,6.0
36,shisa-ai/shisa-v2-llama3.1-8b,2,10.0,10.0,8.0,3.0
4,shisa-ai/shisa-v2-unphi4-14b,2,2.0,3.0,2.0,2.0
16,shisa-ai/shisa-v2-llama3.1-8b,1,10.0,10.0,3.0,2.0
12,shisa-ai/shisa-v2-qwen2.5-7b,1,10.0,10.0,10.0,10.0
9,shisa-ai/shisa-v2-mistral-nemo-12b,2,1.0,3.0,2.0,3.0
23,shisa-ai/llama3.3-70b-merge-nuslerp-168-176-base,2,10.0,9.0,9.0,4.0
73,tokyotech-llm/Llama-3.1-Swallow-8B-Instruct-v0.5,1,10.0,9.0,10.0,8.0
46,shisa-ai/llama3.3-70b-merge-nuslerp-168-176-base,1,2.0,3.0,2.0,2.0
80,shisa-ai/shisa-v2-llama3.1-8b,1,6.0,9.0,7.0,5.0
33,shisa-ai/shisa-v2.1-qwen3-8b,2,2.0,2.0,2.0,3.0
73,shisa-ai/shisa-v2-mistral-nemo-12b,2,10.0,9.0,4.0,4.0
53,LiquidAI/LFM2-1.2B,1,9.0,9.0,8.0,5.0
13,Qwen/Qwen3-8B,2,10.0,9.0,10.0,9.0
61,shisa-ai/shisa-v2-mistral-small-24b,2,10.0,9.0,9.0,5.0
57,Qwen/Qwen3-8B,1,10.0,10.0,10.0,9.0
45,shisa-ai/shisa-v2.1-lfm2-1.2b,1,2.0,3.0,2.0,2.0
1,shisa-ai/shisa-v2-llama3.1-8b,1,9.0,9.0,9.0,7.0
78,shisa-ai/shisa-v2-llama3.1-405b,1,10.0,9.0,10.0,6.0
62,LiquidAI/LFM2-1.2B,1,8.0,8.0,3.0,3.0
9,shisa-ai/shisa-v2-qwen2.5-32b,2,2.0,3.0,2.0,4.0
69,meta-llama/Llama-3.3-70B-Instruct,2,10.0,9.0,9.0,7.0
49,meta-llama/Llama-3.3-70B-Instruct,1,4.0,4.0,3.0,2.0
65,shisa-ai/shisa-v2-unphi4-14b,1,9.0,10.0,9.0,8.0
41,meta-llama/Llama-3.1-405B-Instruct,2,2.0,3.0,3.0,3.0
2,shisa-ai/shisa-v2-llama3.1-405b,1,10.0,10.0,9.0,9.0
21,meta-llama/Llama-3.1-405B-Instruct,1,8.0,8.0,8.0,5.0
63,shisa-ai/shisa-v2.1-lfm2-1.2b,2,10.0,9.0,6.0,3.0
12,tokyotech-llm/Llama-3.1-Swallow-8B-Instruct-v0.5,2,6.0,5.0,4.0,4.0
4,Qwen/Qwen3-30B-A3B-Instruct-2507,2,1.0,3.0,10.0,8.0
15,shisa-ai/shisa-v2-qwen2.5-7b,2,10.0,3.0,2.0,4.0
72,shisa-ai/shisa-v2.1-llama3.2-3b,1,10.0,9.0,9.0,6.0
76,tokyotech-llm/Llama-3.1-Swallow-8B-Instruct-v0.5,2,10.0,9.0,9.0,7.0
56,tokyotech-llm/Llama-3.1-Swallow-8B-Instruct-v0.5,1,10.0,9.0,10.0,8.0
29,shisa-ai/llama3.3-70b-merge-nuslerp-168-176-base,1,10.0,9.0,10.0,8.0
56,shisa-ai/shisa-v2-mistral-nemo-12b,2,10.0,9.0,8.0,6.0
44,shisa-ai/shisa-v2-mistral-small-24b,2,10.0,10.0,10.0,10.0
70,shisa-ai/shisa-v2.1-llama3.2-3b,1,10.0,10.0,10.0,9.0
6,meta-llama/Llama-3.1-405B-Instruct,1,6.0,9.0,3.0,3.0
48,shisa-ai/shisa-v2.1-lfm2-1.2b,2,2.0,2.0,2.0,2.0
28,shisa-ai/shisa-v2.1-lfm2-1.2b,1,10.0,10.0,9.0,7.0
45,LiquidAI/LFM2-1.2B,1,1.0,2.0,2.0,2.0
1,shisa-ai/shisa-v2.1-qwen3-8b,2,10.0,9.0,10.0,9.0
52,meta-llama/Llama-3.3-70B-Instruct,2,9.0,9.0,9.0,6.0
48,shisa-ai/shisa-v2-unphi4-14b,1,3.0,3.0,3.0,2.0
24,meta-llama/Llama-3.1-405B-Instruct,2,10.0,9.0,8.0,6.0
4,meta-llama/Llama-3.1-405B-Instruct,1,10.0,10.0,9.0,9.0
55,shisa-ai/shisa-v2.1-llama3.2-3b,1,7.0,4.0,4.0,2.0
68,meta-llama/Llama-3.1-405B-Instruct,1,9.0,9.0,8.0,7.0
63,LiquidAI/LFM2-1.2B,2,10.0,9.0,8.0,3.0
13,shisa-ai/shisa-v2-unphi4-14b,2,10.0,9.0,10.0,5.0
32,shisa-ai/llama3.3-70b-merge-nuslerp-168-176-base,2,10.0,10.0,10.0,10.0
12,shisa-ai/llama3.3-70b-merge-nuslerp-168-176-base,1,10.0,9.0,10.0,10.0
32,shisa-ai/166-qwen3-30b-a3b-v2.1-dpo-1.2e7,2,10.0,10.0,10.0,10.0
70,shisa-ai/shisa-v2-llama3.1-405b,1,10.0,9.0,10.0,9.0
74,Qwen/Qwen3-30B-A3B-Instruct-2507,1,10.0,10.0,10.0,9.0
76,shisa-ai/llama3.3-70b-merge-nuslerp-168-176-base,1,10.0,9.0,9.5,8.0
76,shisa-ai/166-qwen3-30b-a3b-v2.1-dpo-1.2e7,1,9.0,9.0,10.0,8.0
62,shisa-ai/shisa-v2-mistral-nemo-12b,1,4.0,5.0,3.0,3.0
63,shisa-ai/shisa-v2-qwen2.5-7b,1,10.0,10.0,9.0,8.0
73,shisa-ai/shisa-v2.1-llama3.2-3b,2,10.0,9.0,8.0,3.0
31,shisa-ai/shisa-v2-unphi4-14b,2,2.0,8.0,4.0,3.0
31,shisa-ai/shisa-v2.1-lfm2-1.2b,2,2.0,2.0,3.0,2.0
11,shisa-ai/shisa-v2.1-lfm2-1.2b,1,1.0,2.0,2.0,2.0
67,tokyotech-llm/Llama-3.3-Swallow-70B-Instruct-v0.4,2,9.0,9.0,7.0,4.0
72,shisa-ai/shisa-v2-llama3.3-70b,1,10.0,9.0,9.0,5.0
28,LiquidAI/LFM2-1.2B,1,9.0,9.0,8.0,7.0
8,shisa-ai/shisa-v2-llama3.1-8b,2,1.0,3.0,2.0,2.0
35,meta-llama/Llama-3.3-70B-Instruct,2,4.0,3.0,3.0,2.0
45,shisa-ai/shisa-v2.1-llama3.3-70b,2,10.0,8.0,10.0,8.0
37,Qwen/Qwen3-30B-A3B-Instruct-2507,1,10.0,10.0,10.0,10.0
72,shisa-ai/shisa-v2-llama3.1-8b,2,10.0,9.0,9.0,7.0
52,shisa-ai/shisa-v2-llama3.1-8b,1,9.0,7.0,4.0,3.0
72,shisa-ai/shisa-v2.1-lfm2-1.2b,1,10.0,9.0,9.0,5.0
9,shisa-ai/shisa-v2-llama3.1-405b,2,10.0,9.0,10.0,5.0
13,Qwen/Qwen3-30B-A3B-Instruct-2507,2,10.0,9.0,10.0,8.0
15,shisa-ai/llama3.3-70b-merge-nuslerp-168-176-base,2,10.0,9.0,10.0,7.0
65,tokyotech-llm/Llama-3.1-Swallow-8B-Instruct-v0.5,1,9.0,8.0,7.0,4.0
63,tokyotech-llm/Llama-3.1-Swallow-8B-Instruct-v0.5,2,10.0,9.0,9.0,3.0
57,Qwen/Qwen3-30B-A3B-Instruct-2507,1,10.0,10.0,10.0,9.0
77,Qwen/Qwen3-30B-A3B-Instruct-2507,2,10.0,8.0,9.0,6.0
70,shisa-ai/shisa-v2-llama3.1-8b,2,10.0,9.0,9.0,6.0
45,shisa-ai/shisa-v2-mistral-nemo-12b,1,3.0,5.0,5.0,2.0
66,shisa-ai/shisa-v2-qwen2.5-7b,2,10.0,9.0,5.0,3.0
14,shisa-ai/shisa-v2-unphi4-14b,2,10.0,10.0,10.0,9.0
53,shisa-ai/shisa-v2-mistral-small-24b,2,10.0,8.0,8.0,3.0
33,shisa-ai/shisa-v2-mistral-small-24b,1,10.0,10.0,10.0,10.0
14,shisa-ai/shisa-v2.1-lfm2-1.2b,2,10.0,10.0,10.0,9.0
79,shisa-ai/shisa-v2.1-llama3.2-3b,1,10.0,9.0,10.0,8.0
55,shisa-ai/shisa-v2-llama3.3-70b,1,10.0,9.0,8.0,6.0
25,shisa-ai/shisa-v2-qwen2.5-32b,1,10.0,9.0,9.0,9.0
31,LiquidAI/LFM2-1.2B,2,2.0,3.0,2.0,2.0
11,LiquidAI/LFM2-1.2B,1,6.0,6.0,6.0,3.0
18,meta-llama/Llama-3.3-70B-Instruct,2,7.0,6.0,5.0,4.0
28,shisa-ai/shisa-v2.1-llama3.3-70b,2,10.0,9.0,10.0,8.0
40,Qwen/Qwen3-30B-A3B-Instruct-2507,2,10.0,10.0,10.0,9.0
55,shisa-ai/shisa-v2-llama3.1-8b,2,10.0,9.0,8.0,3.0
35,shisa-ai/shisa-v2-llama3.1-8b,1,10.0,10.0,10.0,10.0
55,shisa-ai/shisa-v2.1-lfm2-1.2b,1,3.0,2.0,3.0,2.0
31,shisa-ai/shisa-v2-qwen2.5-7b,1,10.0,10.0,10.0,10.0
41,meta-llama/Llama-3.3-70B-Instruct,1,10.0,10.0,9.0,10.0
66,shisa-ai/shisa-v2.1-unphi4-14b,2,10.0,9.0,9.0,8.0
13,meta-llama/Llama-3.1-405B-Instruct,1,10.0,10.0,10.0,10.0
56,shisa-ai/shisa-v2-llama3.1-405b,2,10.0,9.0,9.0,6.0
75,meta-llama/Llama-3.1-405B-Instruct,2,9.0,9.0,8.0,5.0
48,tokyotech-llm/Llama-3.1-Swallow-8B-Instruct-v0.5,1,2.0,2.0,2.0,2.0
23,shisa-ai/shisa-v2-unphi4-14b,1,8.0,8.0,7.0,5.0
59,meta-llama/Llama-3.3-70B-Instruct,2,10.0,6.0,6.0,4.0
28,shisa-ai/shisa-v2-mistral-nemo-12b,1,10.0,10.0,9.0,7.0
49,shisa-ai/shisa-v2-qwen2.5-7b,2,2.0,3.0,3.0,3.0
36,shisa-ai/shisa-v2-mistral-small-24b,2,10.0,8.0,9.0,9.0
16,shisa-ai/shisa-v2-mistral-small-24b,1,3.0,6.0,3.0,2.0
63,shisa-ai/llama3.3-70b-merge-nuslerp-168-176-base,1,10.0,10.0,10.0,9.0
5,Qwen/Qwen3-30B-A3B-Instruct-2507,1,10.0,9.0,10.0,9.0
62,shisa-ai/shisa-v2.1-llama3.2-3b,1,10.0,8.0,3.0,3.0
20,shisa-ai/shisa-v2-unphi4-14b,1,10.0,10.0,10.0,10.0
20,shisa-ai/shisa-v2.1-lfm2-1.2b,1,4.0,3.0,3.0,3.0
80,shisa-ai/shisa-v2-mistral-small-24b,1,10.0,9.0,10.0,8.0
28,shisa-ai/shisa-v2-qwen2.5-32b,2,10.0,9.0,10.0,6.0
40,meta-llama/Llama-3.1-405B-Instruct,1,10.0,10.0,10.0,10.0
31,tokyotech-llm/Llama-3.1-Swallow-8B-Instruct-v0.5,2,3.0,4.0,4.0,3.0
11,tokyotech-llm/Llama-3.1-Swallow-8B-Instruct-v0.5,1,10.0,10.0,9.0,6.0
11,shisa-ai/shisa-v2.1-llama3.3-70b,2,10.0,9.0,10.0,9.0
23,Qwen/Qwen3-30B-A3B-Instruct-2507,2,10.0,9.0,9.0,3.0
77,shisa-ai/shisa-v2-mistral-small-24b,1,9.0,9.0,9.0,6.0
18,shisa-ai/shisa-v2-llama3.1-8b,1,9.0,9.0,9.0,8.0
24,meta-llama/Llama-3.3-70B-Instruct,1,10.0,9.0,9.0,7.0
14,shisa-ai/shisa-v2-qwen2.5-7b,1,2.0,3.0,2.0,2.0
49,shisa-ai/shisa-v2.1-unphi4-14b,2,2.0,3.0,3.0,3.0
48,shisa-ai/llama3.3-70b-merge-nuslerp-168-176-base,1,10.0,10.0,10.0,10.0
45,shisa-ai/shisa-v2.1-llama3.2-3b,2,2.0,3.0,2.0,3.0
25,shisa-ai/shisa-v2.1-llama3.2-3b,1,10.0,9.0,9.0,7.0
51,tokyotech-llm/Llama-3.1-Swallow-8B-Instruct-v0.5,2,3.0,3.0,2.0,3.0
62,shisa-ai/shisa-v2-llama3.1-405b,1,10.0,9.0,9.0,3.0
47,shisa-ai/shisa-v2.1-lfm2-1.2b,1,1.0,2.0,1.0,2.0
79,shisa-ai/shisa-v2-llama3.1-8b,2,10.0,9.0,7.0,5.0
66,shisa-ai/llama3.3-70b-merge-nuslerp-168-176-base,2,10.0,9.0,6.0,5.0
59,shisa-ai/shisa-v2-llama3.1-8b,1,9.0,6.0,5.0,4.0
76,shisa-ai/shisa-v2-qwen2.5-32b,2,2.0,3.0,2.0,3.0
3,shisa-ai/shisa-v2.1-lfm2-1.2b,1,2.0,6.0,3.0,3.0
11,shisa-ai/shisa-v2-qwen2.5-32b,2,8.0,8.0,8.0,6.0
23,meta-llama/Llama-3.1-405B-Instruct,1,9.0,9.0,8.0,4.0
14,tokyotech-llm/Llama-3.1-Swallow-8B-Instruct-v0.5,2,10.0,10.0,10.0,9.0
20,LiquidAI/LFM2-1.2B,1,3.0,2.0,3.0,2.0
27,meta-llama/Llama-3.3-70B-Instruct,2,10.0,9.0,9.0,6.0
7,meta-llama/Llama-3.3-70B-Instruct,1,10.0,9.0,10.0,10.0
29,Qwen/Qwen3-30B-A3B-Instruct-2507,1,10.0,10.0,10.0,8.0
51,shisa-ai/llama3.3-70b-merge-nuslerp-168-176-base,2,10.0,9.0,10.0,5.0
31,shisa-ai/llama3.3-70b-merge-nuslerp-168-176-base,1,10.0,10.0,10.0,10.0
80,shisa-ai/shisa-v2-qwen2.5-7b,2,10.0,9.0,8.0,8.0
28,shisa-ai/shisa-v2.1-llama3.2-3b,2,9.0,4.0,3.0,3.0
45,shisa-ai/shisa-v2-llama3.1-405b,1,10.0,10.0,10.0,10.0
30,shisa-ai/shisa-v2.1-lfm2-1.2b,1,2.0,2.0,2.0,2.0
62,shisa-ai/shisa-v2-llama3.1-8b,2,10.0,8.0,6.0,3.0
42,shisa-ai/shisa-v2-llama3.1-8b,1,4.0,4.0,3.0,3.0
49,shisa-ai/llama3.3-70b-merge-nuslerp-168-176-base,2,10.0,10.0,10.0,10.0
38,shisa-ai/shisa-v2-qwen2.5-7b,1,10.0,10.0,10.0,9.0
51,shisa-ai/166-qwen3-30b-a3b-v2.1-dpo-1.2e7,1,10.0,9.0,10.0,8.0
3,LiquidAI/LFM2-1.2B,2,10.0,6.0,6.0,5.0
6,shisa-ai/shisa-v2-unphi4-14b,2,10.0,10.0,8.0,6.0
66,tokyotech-llm/Llama-3.3-Swallow-70B-Instruct-v0.4,1,10.0,10.0,10.0,9.0
26,meta-llama/Llama-3.1-405B-Instruct,2,10.0,8.0,8.0,3.0
17,shisa-ai/shisa-v2-qwen2.5-32b,1,10.0,10.0,10.0,10.0
71,shisa-ai/shisa-v2.1-lfm2-1.2b,1,10.0,9.0,9.0,6.0
20,shisa-ai/shisa-v2.1-llama3.3-70b,2,10.0,10.0,10.0,8.0
32,Qwen/Qwen3-30B-A3B-Instruct-2507,2,10.0,10.0,10.0,10.0
12,Qwen/Qwen3-30B-A3B-Instruct-2507,1,10.0,9.0,10.0,10.0
27,shisa-ai/shisa-v2-llama3.1-8b,1,10.0,9.0,10.0,9.0
14,shisa-ai/llama3.3-70b-merge-nuslerp-168-176-base,1,10.0,10.0,10.0,10.0
58,shisa-ai/shisa-v2.1-unphi4-14b,2,10.0,9.0,10.0,6.0
51,tokyotech-llm/Llama-3.3-Swallow-70B-Instruct-v0.4,1,10.0,9.0,10.0,7.0
64,shisa-ai/shisa-v2.1-llama3.3-70b,1,10.0,10.0,10.0,9.0
11,shisa-ai/shisa-v2.1-llama3.2-3b,2,10.0,9.0,9.0,8.0
76,Qwen/Qwen3-30B-A3B-Instruct-2507,1,10.0,10.0,9.0,9.0
8,shisa-ai/shisa-v2-mistral-small-24b,2,2.0,3.0,2.0,2.0
75,meta-llama/Llama-3.3-70B-Instruct,1,9.0,9.0,10.0,6.0
67,meta-llama/Llama-3.1-405B-Instruct,2,10.0,3.0,3.0,3.0
28,shisa-ai/shisa-v2-llama3.1-405b,1,10.0,10.0,10.0,8.0
34,shisa-ai/shisa-v2.1-llama3.2-3b,1,6.0,3.0,8.0,6.0
38,tokyotech-llm/Llama-3.1-Swallow-8B-Instruct-v0.5,2,2.0,8.0,10.0,10.0
52,shisa-ai/shisa-v2-mistral-small-24b,1,5.0,5.0,4.0,3.0
20,shisa-ai/shisa-v2-mistral-nemo-12b,1,3.0,3.0,4.0,3.0
21,shisa-ai/shisa-v2-qwen2.5-7b,1,8.0,8.0,8.0,4.0
41,shisa-ai/shisa-v2-qwen2.5-7b,2,1.0,2.0,2.0,2.0
69,tokyotech-llm/Llama-3.3-Swallow-70B-Instruct-v0.4,2,10.0,9.0,9.0,6.0
49,tokyotech-llm/Llama-3.3-Swallow-70B-Instruct-v0.4,1,2.0,3.0,2.0,3.0
30,LiquidAI/LFM2-1.2B,1,10.0,9.0,7.0,6.0
74,shisa-ai/shisa-v2-llama3.3-70b,2,10.0,9.0,10.0,8.0
21,shisa-ai/shisa-v2.1-unphi4-14b,2,10.0,9.0,9.0,6.0
70,shisa-ai/shisa-v2-mistral-small-24b,2,10.0,9.0,9.0,6.0
32,meta-llama/Llama-3.1-405B-Instruct,1,10.0,10.0,10.0,10.0
11,shisa-ai/shisa-v2-llama3.1-405b,2,10.0,10.0,10.0,9.0
54,shisa-ai/shisa-v2.1-lfm2-1.2b,1,10.0,9.0,10.0,6.0
3,shisa-ai/shisa-v2.1-llama3.3-70b,2,10.0,10.0,10.0,9.0
3,tokyotech-llm/Llama-3.1-Swallow-8B-Instruct-v0.5,1,10.0,10.0,10.0,9.0
15,Qwen/Qwen3-30B-A3B-Instruct-2507,2,10.0,3.0,3.0,6.0
10,shisa-ai/shisa-v2-llama3.1-8b,1,3.0,9.0,5.0,6.0
6,shisa-ai/shisa-v2-qwen2.5-7b,1,9.0,9.0,7.0,4.0
4,shisa-ai/shisa-v2-qwen2.5-7b,2,1.0,3.0,2.0,3.0
47,shisa-ai/shisa-v2.1-llama3.3-70b,1,10.0,10.0,9.0,8.0
71,LiquidAI/LFM2-1.2B,1,9.0,9.0,7.0,4.0
50,meta-llama/Llama-3.1-405B-Instruct,2,10.0,9.0,9.0,8.0
69,shisa-ai/shisa-v2-qwen2.5-7b,1,8.0,9.0,9.0,8.0
17,shisa-ai/shisa-v2.1-llama3.2-3b,1,10.0,10.0,10.0,9.0
61,shisa-ai/166-qwen3-30b-a3b-v2.1-dpo-1.2e7,2,10.0,9.0,9.0,7.0
21,tokyotech-llm/Llama-3.1-Swallow-8B-Instruct-v0.5,2,10.0,9.0,9.0,6.0
55,shisa-ai/shisa-v2-mistral-small-24b,2,10.0,9.0,9.0,8.0
35,shisa-ai/shisa-v2-mistral-small-24b,1,10.0,10.0,10.0,10.0
58,shisa-ai/llama3.3-70b-merge-nuslerp-168-176-base,2,10.0,9.0,8.0,5.0
38,shisa-ai/llama3.3-70b-merge-nuslerp-168-176-base,1,3.0,3.0,6.0,2.0
58,shisa-ai/166-qwen3-30b-a3b-v2.1-dpo-1.2e7,2,10.0,9.0,10.0,6.0
57,shisa-ai/shisa-v2-llama3.3-70b,2,10.0,9.0,9.0,5.0
4,shisa-ai/shisa-v2.1-unphi4-14b,2,2.0,3.0,2.0,2.0
3,shisa-ai/shisa-v2-qwen2.5-32b,2,10.0,10.0,10.0,10.0
30,shisa-ai/shisa-v2.1-llama3.3-70b,2,10.0,9.0,9.0,7.0
43,meta-llama/Llama-3.3-70B-Instruct,1,7.0,7.0,6.0,6.0
15,meta-llama/Llama-3.1-405B-Instruct,1,10.0,10.0,10.0,8.0
68,shisa-ai/shisa-v2.1-unphi4-14b,2,10.0,9.0,9.0,4.0
57,shisa-ai/shisa-v2.1-lfm2-1.2b,2,10.0,9.0,9.0,4.0
37,shisa-ai/shisa-v2.1-lfm2-1.2b,1,3.0,4.0,3.0,2.0
6,tokyotech-llm/Llama-3.1-Swallow-8B-Instruct-v0.5,2,10.0,9.0,7.0,6.0
